BatchID,NumProcesses,AvgPriority,AvgBurstTime,AvgArrivalTime,BestAlgo,AWT,ATAT,ART
1,10,4.3,26.1,34.9,RR,94.9,121,12.5
2,10,4,10.4,105.2,SRTF,9,19.4,5.1
3,10,4.3,16.3,164.2,SRTF,30.8,47.1,19.5
4,10,5.7,18.6,214,SRTF,31.6,50.2,28.1
5,10,5.2,14.7,341.8,FCFS,5.3,20,5.3
6,10,5.1,14.2,731.5,SJF,4.9,19.1,4.9
7,10,4.3,11,966.6,SRTF,4.1,15.1,2.7
8,10,4.6,19.5,1078.6,SRTF,31.1,50.6,28.8
9,10,4.1,13.6,1141.1,SRTF,14.8,28.4,13.6
10,10,5.4,9.3,1216.8,SRTF,8.6,17.9,6.6
11,10,5.3,10.4,1275.5,RR,21.8,32.2,5.3
12,10,4.6,19.9,1330.7,SJF,42.4,62.3,42.4
13,10,4.5,14.8,1610.3,FCFS,0,14.8,0
14,10,3.2,15.5,2164.8,FCFS,5.7,21.2,5.7
15,10,4.5,9.8,2385.7,SRTF,1.6,11.4,0.9
16,10,4.9,21.6,2523.2,SRTF,30.6,52.2,30.4
17,10,5.2,33.6,2605.6,SRTF,70.7,104.3,58.6
18,10,4.2,27.7,2638.9,RR,104.7,132.4,12.7
19,10,4,21.3,2668.2,SRTF,35.6,56.9,31.3
20,10,4.7,19.7,2725.9,SRTF,28.1,47.8,22.6
21,10,4.3,13.8,2897.6,FCFS,2.7,16.5,2.7
22,10,3.8,15,3311.2,RR,0.9,15.9,0.3
23,10,5.2,16.5,3652.7,SRTF,8.1,24.6,3.4
24,10,4.5,22.1,3823.9,SRTF,33.6,55.7,19
25,10,4.8,18,3912.3,SRTF,27.5,45.5,24.8
26,10,4.8,22.6,3956,SRTF,47.8,70.4,46.5
27,10,4.3,17,4003.2,SRTF,21.4,38.4,17.2
28,10,2.9,18,4091.9,SRTF,21.9,39.9,18.9
29,10,4.8,15.5,4357.2,RR,5.1,20.6,0.9
30,10,4.5,14.3,4853.5,FCFS,0.9,15.2,0.9
31,10,5,16.9,5154.9,SRTF,7.2,24.1,5.6
32,10,5,14.2,5289.6,SRTF,1,15.2,0.7
33,10,3.5,27.7,5452.7,SRTF,51.4,79.1,50.5
34,10,4.2,25.6,5530.8,SRTF,51.3,76.9,49.1
35,10,4.2,14.5,5586.8,SRTF,16.8,31.3,9.4
36,10,4.8,22.3,5637.5,SRTF,32.5,54.8,26.7
37,10,4.4,15,5862,RR,1.6,16.6,0.2
38,10,4.5,15.5,6175.6,SRTF,2,17.5,0.7
39,10,5,25.7,6385.5,RR,92.2,117.9,9.9
40,10,3.5,8.9,6475.6,SRTF,3.6,12.5,1.5
41,10,3.7,22.8,6551.5,SRTF,52,74.8,51.2
42,10,3.8,21.8,6611.6,SRTF,26.3,48.1,22
43,10,5.3,16,6651.5,SRTF,36.7,52.7,33.1
44,10,5.3,23.1,6704.6,SRTF,33.5,56.6,32.6
45,10,4.7,15.5,6839.5,FCFS,26.8,42.3,26.8
46,10,5.9,16.3,7160.4,SRTF,2.5,18.8,1.3
47,10,3.5,18.9,7452.1,SRTF,17.7,36.6,10.7
48,10,3.5,26.9,7622.8,SRTF,9.8,36.7,6.5
